Date,Date,non-OPEC Production change,WTI Real Price (GDP Deflated)
1Q 2001,2001,0.59,35.03
2Q 2001,2001,0.52,33.77
3Q 2001,2001,0.74,32.19
4Q 2001,2001,0.85,24.6
1Q 2002,2002,1.11,25.93
2Q 2002,2002,1.74,31.35
3Q 2002,2002,0.85,33.62
4Q 2002,2002,0.73,33.41
1Q 2003,2003,1,39.98
2Q 2003,2003,0.18,33.93
3Q 2003,2003,1.21,35.19
4Q 2003,2003,1.56,36.13
1Q 2004,2004,1.07,40.58
2Q 2004,2004,1.59,43.65
3Q 2004,2004,0.69,49.62
4Q 2004,2004,0.32,54.11
1Q 2005,2005,0.11,55.57
2Q 2005,2005,0.54,58.72
3Q 2005,2005,-0.29,69.36
4Q 2005,2005,-0.7,65.23
1Q 2006,2006,-0.08,68.3
2Q 2006,2006,-0.43,75.4
3Q 2006,2006,1.15,74.97
4Q 2006,2006,1.03,63.46
1Q 2007,2007,0.55,60.82
2Q 2007,2007,0.58,67.65
3Q 2007,2007,-0.19,78.07
4Q 2007,2007,0.08,93.62
1Q 2008,2008,-0.17,100.56
2Q 2008,2008,-0.23,126.63
3Q 2008,2008,-0.29,120.2
4Q 2008,2008,-0.08,59.52
1Q 2009,2009,0.23,43.65
2Q 2009,2009,0.59,60.41
3Q 2009,2009,1.37,68.99
4Q 2009,2009,1.3,76.79
1Q 2010,2010,1.42,79.36
2Q 2010,2010,1.61,78.01
3Q 2010,2010,1.24,75.9
4Q 2010,2010,1.27,84.61
1Q 2011,2011,0.69,92.98
2Q 2011,2011,-0.04,100.1
3Q 2011,2011,0.14,87.3
4Q 2011,2011,0.11,91.65
1Q 2012,2012,0.61,99.75
2Q 2012,2012,0.41,90
3Q 2012,2012,0.26,88.39
4Q 2012,2012,0.98,84.1
1Q 2013,2013,0.52,89.81
2Q 2013,2013,1.51,89.34
3Q 2013,2013,2.29,100.02
4Q 2013,2013,1.9,91.66
1Q 2014,2014,2.28,92.37
2Q 2014,2014,2.59,96.23
3Q 2014,2014,2.32,90.74
4Q 2014,2014,2.72,67.79
1Q 2015,2015,2.6,44.9
2Q 2015,2015,1.67,53.28
3Q 2015,2015,1.56,42.74
4Q 2015,2015,0.56,38.42
1Q 2016,2016,0.01,30.51
2Q 2016,2016,-0.75,41.36
3Q 2016,2016,-1.09,40.62
4Q 2016,2016,-0.6,42.53
1Q 2017,2017,-0.57,42.05
2Q 2017,2017,0.82,42.75
3Q 2017,2017,0.68,45.14
4Q 2017,2017,0.34,47.22
