,y-o-y % OECD Consumption Change,non-OECD Consumption Growth,Saudi Production Change,Spare Capacity
2001-03-31,1.57,2.33,0.58,1.62
2001-06-30,0.32,4.67,-0.18,2.71
2001-09-30,-0.57,0.9,-0.68,2.56
2001-12-31,-0.8,2.91,-1.19,3.43
2002-03-31,-1.51,1.39,-1.17,4.41
2002-06-30,-0.53,2.01,-0.53,4.97
2002-09-30,0.06,3.54,-0.27,4.13
2002-12-31,1.74,3.29,0.37,2.74
2003-03-31,2.59,2.52,1.62,2.09
2003-06-30,1.82,1.93,1.69,1.41
2003-09-30,0.69,4.11,0.75,2.28
2003-12-31,0.87,3.68,0.52,2.01
2004-03-31,1.14,6.43,-0.3,1.93
2004-06-30,1.61,8.93,-0.36,1.73
2004-09-30,2.18,5.56,0.98,0.74
2004-12-31,1.82,6.95,0.97,0.71
2005-03-31,1.66,6.56,0.9,1.1
2005-06-30,1.39,2.73,0.8,1.05
2005-09-30,0.66,5.04,0.1,0.97
2005-12-31,-0.36,0.08,0.0,1.02
2006-03-31,-0.49,2.32,-0.09,1.16
2006-06-30,-0.63,3.99,-0.38,1.38
2006-09-30,-0.38,3.15,-0.4,1.36
2006-12-31,-0.24,4.86,-0.72,1.96
2007-03-31,-1.27,2.86,-0.76,2.33
2007-06-30,0.38,2.6,-0.62,2.32
2007-09-30,-0.01,4.55,-0.54,2.1
2007-12-31,0.31,4.33,0.18,1.68
2008-03-31,-1.95,5.81,0.55,1.39
2008-06-30,-2.18,6.74,0.72,1.28
2008-09-30,-4.99,1.91,0.9,1.04
2008-12-31,-5.68,-2.83,-0.02,1.9
2009-03-31,-4.63,-5.84,-1.13,3.35
2009-06-30,-5.68,-0.46,-1.19,3.44
2009-09-30,-3.29,6.88,-1.17,3.94
2009-12-31,-2.49,9.8,-0.68,4.44
2010-03-31,-1.13,9.38,0.3,4.34
2010-06-30,1.72,6.58,0.73,4.09
2010-09-30,3.58,3.8,0.9,3.55
2010-12-31,1.76,7.06,0.63,3.95
2011-03-31,0.07,6.78,0.67,3.7
2011-06-30,-2.12,2.95,0.27,3.27
2011-09-30,-1.45,2.42,0.5,2.57
2011-12-31,-2.23,3.56,0.8,2.67
2012-03-31,-1.42,2.47,0.9,2.14
2012-06-30,0.46,4.16,0.72,2.06
2012-09-30,-1.88,5.14,0.1,1.96
2012-12-31,-0.52,4.09,-0.21,2.33
2013-03-31,-0.86,3.89,-0.83,2.7
2013-06-30,0.48,1.88,-0.25,2.24
2013-09-30,1.01,0.83,0.2,1.7
2013-12-31,0.58,1.14,0.31,2.0
2014-03-31,0.38,2.41,0.7,2.0
2014-06-30,-1.46,4.03,0.05,2.15
2014-09-30,-0.61,3.64,-0.4,2.11
2014-12-31,-0.13,1.89,-0.17,2.06
2015-03-31,1.53,1.65,-0.06,1.94
2015-06-30,1.5,2.16,0.42,1.56
2015-09-30,1.86,2.11,0.52,1.34
2015-12-31,-0.03,2.1,0.36,1.56
2016-03-31,0.18,2.2,0.24,1.84
2016-06-30,0.74,2.68,0.25,1.27
